"lyric","name","album"
"say love go thinking somehow know someday lonely wishing far away remember thing said today say mine girl till end time day kind girl seems hard find someday dreaming deep love lot say remember thing said today lucky kind love hear say love luck though may blind love stay enough make mine girl one love time girl go someday dreaming deep love lot say remember thing said today lucky kind love hear say love luck though may blind love stay enough make mine girl one love time girl go someday dreaming deep love lot say remember thing said today","Things We Said Today","A Hard Day's Night"
"got something say might cause pain catch talking boy gon let leave flat told ca well second time caught talking tell one time think sin think let let leave flat gon let leave flat told ca everybody green co one love seen talking way laugh face please listen wan stay mine ca help feeling go mind gon let let leave flat gon let leave flat told ca ca ca ca ca ca everybody green co one love seen talking way laugh face please listen wan stay mine ca help feeling go mind gon let let leave flat gon let leave flat told ca","You Can't Do That","A Hard Day's Night"
"give love saw love love love give everything tenderly kiss lover brings brings love love like could never die long near bright star shine dark sky know love mine never die love bright star shine dark sky know love mine never die love","And I Love Her","A Hard Day's Night"
"known better girl like would love everything hey hey hey whoa never realized kiss could could happen ca see ca see tell love gon say love ask mine gon say love realized lot thing love got give give hey hey hey give whoa never realized kiss could could happen ca see ca see tell love gon say love ask mine gon say love love love love","I Should Have Known Better","A Hard Day's Night"
"tell cried lied tell cried lied well gave everything left sitting treat bad hang head moan tell cried lied tell cried lied something said done tell apologize really ca go holding back tear eye tell cried lied tell cried lied well beg bended knee listen plea anything 'cause really ca stand love tell cried lied tell cried lied","Tell Me Why","A Hard Day's Night"
"fell love would promise true help understand co love found love holding hand give heart must sure start would love trust please run hide love please hurt pride like co could stand pain would sad new love vain hope see would love love cry learns two co could stand pain would sad new love vain hope see would love love cry learns two fell love","If I Fell","A Hard Day's Night"
"got every reason earth mad co lost girl could get way get locked today ca cry instead got chip shoulder bigger foot ca talk people meet could see try make sad somehow ca cry instead want cry people get shy start stare gon hide away ay hay come back someday better hide girl gon break heart 'round world yes gon break two show loving man cry instead want cry people get shy start stare gon hide away ay hay come back someday better hide girl co gon break heart 'round world yes gon break two show loving man cry instead","I'll Cry Instead","A Hard Day's Night"
"know break heart go back co told goodbye came back love one want yes one want ho ho could find better thing break heart time try show trying pretend thought would realize ran away would want got big surprise ho ho could find better thing break heart time try show trying pretend wan go hate leave know hate leave ho ho break heart go back","I'll Be Back","A Hard Day's Night"
"time time time got ta call need somebody love look eye make feel right feeling sorry sad really sympathize sad call tonight time time time got ta call sun faded away try make shine nothing wo need shoulder cry hope mine call tonight come time time time got ta call time time time got ta call time got ta call","Any Time At All","A Hard Day's Night"
"whoa-i whoa-i got whole lot thing tell get home come way co gon see baby today got whole lot thing got ta say whoa-i whoa-i got whole lot thing tell get home come please got time triviality got girl waiting home tonight whoa-i whoa-i got whole lot thing tell get home getting home tonight gon hold tight gon love till cow come home bet love till walk door come let got many thing got got business way whoa-i whoa-i got whole lot thing tell get home yeah got whole lot thing tell get home","When I Get Home","A Hard Day's Night"
"hard day night working like dog hard day night sleeping like log get home find thing make feel alright know work day get money buy thing worth hear say going give everything earth moan co get alone know feel ok home everything seems right home feeling holding tight tight yeah hard day night working like dog hard day night sleeping like log get home find thing make feel alright owww earth moan co get alone know feel ok home everything seems right home feeling holding tight tight yeah hard day night working like dog hard day night sleeping like log get home find thing make feel alright know feel alright know feel alright","A Hard Day's Night","A Hard Day's Night"
"dance think love happy dance want kiss hold hand funny try understand really nothing else rather co happy dance need hug hold tight want dance night world nothing would rather co happy dance dance everything need dance think love happy dance somebody try take place let pretend ca see face world nothing would rather co happy dance dance everything need dance think love happy dance somebody try take place let pretend ca see face world nothing would rather discovered love co happy dance","I'm Happy Just To Dance With You","A Hard Day's Night"
"mr. moonlight came one summer night beam made dream world sent girl sent u love mine think fine co love mr. moonlight mr. moonlight come please knee begging please night come way pray pray day co love mr. moonlight night come way pray pray day co love mr. moonlight mr. moonlight mr. moonlight come please knee begging please night come way pray pray day co love mr. moonlight mr. moonlight mr. moonlight mr. moonlight","Mr. Moonlight","Beatles For Sale"
"loser loser appear love lost one love never crossed girl million friend known would win end loser lost someone near loser appear although laugh act like clown beneath mask wearing frown tear falling like rain sky cry loser lost someone near loser appear done deserve fate realize left late true pride come fall telling wo lose loser lost someone near loser appear","I'm A Loser","Beatles For Sale"
"let hear rock roll music old way choose got back beat ca lose old time use got ta rock roll music wan dance wan dance got kick modern jazz unless try play darn fast lose beauty melody sound like symphony go rock roll music old way choose got back beat ca lose old time use got ta rock roll music wan dance wan dance took loved one across track hear man awail sax must admit rocking band man blowing like hurricane go rock roll music old way choose got back beat ca lose old time use got ta rock roll music wan dance wan dance way south jubilee jokey folk jamboree drinking home brew water cup folk dancing shook started playing rock roll music old time use got back beat ca lose old time use got ta rock roll music wan dance wan dance care hear play tango mood take mambo way early congo keep rocking piano go rock roll music old time use got back beat ca lose old time use got ta rock roll music wan dance wan dance","Rock And Roll Music","Beatles For Sale"
"walking beside people tell lucky yes know lucky guy remember first time lonely without ca stop thinking every little thing yeah know thing oooh happy know love yes know love one thing sure love forever know love never die every little thing yeah know thing oooh every little thing yeah know thing oooh every little thing every little thing","Every Little Thing","Beatles For Sale"
"well come say wo say baby let know honey feel tell truth love real ah ah well honey well honey honey honey honey say wo ah ah honey well love baby ought know like way wear clothes everything doggone sweet got sand foot ah ah well honey honey honey honey honey say wo ah ah honey ah rock george one time feel fine said well sometimes love saturday night sunday morning look right painting town ah ah baby stepping around ah ah well honey said honey honey honey honey say wo ah ah honey ah rock george ringo one time well honey well honey say wo ah ah honey","Honey Don't","Beatles For Sale"
"happened came door reply said saw peep window saw lie saw lie know saw looked see face tried telephone said home lie 'cause know saw walk door nearly died nearly died 'cause walked hand hand another man place realize love guy forgive lie heard gave reply tried telephone said home lie 'cause know saw walk door nearly died nearly died 'cause walked hand hand another man place reply reply","No Reply","Beatles For Sale"
"hold close tell feel tell love real word love whisper soft true darling love let hear say word long hear darling near word love whisper soft true darling love","Words Of Love","Beatles For Sale"
"well took honey tree dressed called everybody trying baby everybody trying baby everybody trying baby woke last night half past four fifty woman knocking door everybody trying baby everybody trying baby everybody trying baby instrumental/solo went last night stay late 'fore got home nineteen date everybody trying baby everybody trying baby everybody trying baby instrumental/solo went last night stay late 'fore got home nineteen date everybody trying baby everybody trying baby everybody trying baby well took honey tree dressed called everybody trying baby everybody trying baby everybody trying baby","Everybody's Trying To Be My Baby","Beatles For Sale"
"one day look see gone tomorrow may rain follow sun day know one tomorrow may rain follow sun time come love must go though lose friend end know oooh one day find gone tomorrow may rain follow sun yea tomorrow may rain follow sun time come love must go though lose friend end know oooh one day find gone tomorrow may rain follow sun","I'll Follow The Sun","Beatles For Sale"
"dear baby black feeling blue tell think dress black though never come back dressed black dear baby black feeling blue tell think think though whim think long take till see mistake made dear baby black feeling blue tell long take till see mistake made dear baby black feeling blue tell think dress black though never come back dressed black dear baby black feeling blue tell","Baby's In Black","Beatles For Sale"
"ah kansa city gon get baby back home yeah yeah gon kansa city gon get baby back home yeah yeah well long long time since baby gone ah kansa city gon get baby time yeah yeah gon kansa city gon get baby time yeah yeah one two three four five six seven eight nine wah hey hey hey hey hey baby woo clown say clown tell baby wrong hey hey hey hey hey baby woo clown say clown tell baby wrong well say bye bye bye baby bye bye long bye bye baby gone yeah said bye bye baby bye bye bye bye bye bye well say bye bye bye baby bye bye","Medley: Kansas City / Hey, Hey, Hey, Hey","Beatles For Sale"
"ooh need love babe guess know true hope need love babe like need hold love hold love ai got nothing love babe eight day week love every day girl always mind one thing say girl love time hold love hold love ai got nothing love girl eight day week eight day week love eight day week enough show care ooh need love babe guess know true hope need love babe like need hold love hold love ai got nothing love babe eight day week eight day week love eight day week enough show care love every day girl always mind one thing say girl love time hold love hold love ai got nothing love babe eight day week eight day week eight day week","Eight Days A Week","Beatles For Sale"
"want spoil party go would hate disappointment show nothing disappear turn gone please let know drink two care fun wonder went wrong waited far long think take walk look though tonight made sad still love find glad still love want spoil party go would hate disappointment show nothing disappear turn gone please let know though tonight made sad still love find glad still love though drink two care fun wonder went wrong waited far long think take walk look","I Don't Want To Spoil The Party","Beatles For Sale"
"look feeling blue lonely would much ask got running fun much ask waiting wond'ring gon need love true please stop lying got cry girl much ask waiting wond'ring gon need love true please stop lying got cry girl much ask","What You're Doing","Beatles For Sale"
"think gon sad think today yeah girl driving mad going away got ticket ride got ticket ride got ticket ride care said living bringing yeah would never free around got ticket ride got ticket ride got ticket ride care know riding high ought think twice ought right get saying goodbye ought think twice ought right think gon sad think today yeah girl driving mad going away yeah got ticket ride got ticket ride got ticket ride care know riding high ought think twice ought right get saying goodbye ought think twice ought right said living bringing yeah would never free around ah got ticket ride got ticket ride got ticket ride care baby care baby care baby care baby care baby care baby care fade","Ticket To Ride","Help!"
"said goodbye ah night love eye ah night today find changed mind treat like night telling lie ah night unwise ah night held near sincere treat like night last night night remember think thing make wan cry said goodbye ah night love eye ah night today find changed mind treat like night yes held near sincere treat like night last night night remember think thing make wan cry telling lie ah night unwise ah night held near sincere treat like night like night","The Night Before","Help!"
"yesterday trouble seemed far away look though stay believe yesterday suddenly half man used shadow hanging yesterday came suddenly go know would say said something wrong long yesterday yesterday love easy game play need place hide away believe yesterday go know would say said something wrong long yesterday yesterday love easy game play need place hide away believe yesterday mm mm mm mm mm mm mm","Yesterday","Help!"
"get high see go sigh inside fly butterfly shy beside love feel way love hard loving right fight every night sight make nighttime bright bright right make girl love feel way love hard loving yes hard loving loving","It's Only Love","Help!"
"stand head hand turn face wall gone ca go feeling two-foot small everywhere people stare every day see laugh hear say hey got hide love away hey got hide love away even try never win hearing seeing state could say love find way gather round clown let hear say hey got hide love away hey got hide love away","You've Got To Hide Your Love Away","Help!"
"gon put movie gon make big star make film man sad lonely got ta act naturally well bet gon big star might win oscar never tell movie gon make big star co play part well well hope come see movie know plainly see biggest fool ever hit big time got ta act naturally make scene man sad lonely begging upon bended knee play part wo need rehearsing act naturally well bet gon big star might win oscar never tell movie gon make big star co play part well well hope come see movie know plainly see biggest fool ever hit big time got ta act naturally","Act Naturally","Help!"
"realize much need love time never leave please come back lonely need said thing two tell know would upset realize looked eye told yes told want lovin anymore hurt feeling like ca go anymore please remember feel could never really live without come back see mean need told want lovin anymore hurt feeling like ca go anymore please remember feel could never really live without come back see mean need need need","I Need You","Help!"
"let take heart prove never apart part open eye tell see surprise see big black cloud may time pas away put trust make bright day look eye tell see realise see tell see listen one time get ca try see trying get open eye tell see surprise see tell see listen one time get ca try see trying get open eye tell see surprise see","Tell Me What You See","Help!"
"though gone away morning back tonight telling next time treat right never leave know true co like much like tried leave got nerve walk make lonely deserve never leave know true co like much like really nice believe leave follow bring back belong co could't really stand admit wrong would let leave co true co like much like co like much like really nice believe leave follow bring back belong co could't really stand admit wrong would let leave co true co like much like co like much like","You Like Me Too Much","Help!"
"going lose girl going lose girl take tonight going change mind take tonight treat kind going lose girl going lose girl treat right friend going find gone co treat right lonely one going lose girl going lose girl make point taking away yeah way treat else going lose girl going lose girl make point taking away yeah way treat else take tonight going change mind take tonight treat kind going lose girl going lose girl going lose girl","You're Going To Lose That Girl","Help!"
"make dizzy miss lizzy way rock roll make dizzy miss lizzy stroll come miss lizzy love grow old come give fever put little hand mine make dizzy dizzy lizzy girl look fine a-rocking a-rolling girl said wish mine make dizzy miss lizzy call name oooooh baby say driving insane c'mon c'mon c'mon c'mon baby want lover man run tell mama want bride run tell brother baby run hide make dizzy miss lizzy girl want marry come give fever put little hand mine girl make dizzy dizzy lizzy girl look fine a-rocking a-rolling said wish mine","Dizzy Miss Lizzy","Help!"
"got another girl another girl making say got nobody today well got somebody new ai fool take want got another girl another girl sweeter girl met quite nobody world telling time better stop got another girl another girl love till end thick thin always friend want say unhappy today well seen somebody new ai fool take want got another girl another girl love till end thick thin always friend want say unhappy today well seen somebody new ai fool take want got another girl another girl another girl","Another Girl","Help!"
"help need somebody help anybody help know need someone help younger young much younger today never need never needed anybody help way day gone day gone self assured find find changed mind opened door help feeling appreciate 'round help get foot back ground wo please please help life changed life changed many way independence independence seems vanish haze ev'ry every feel insecure know know need like never done help feeling appreciate 'round help get foot back ground wo please please help younger much younger today never needed anybody help way day gone day gone self assured find find changed mind opened door help feeling appreciate 'round help get foot back ground wo please please help help help ooh","Help!","Help!"
"seen face ca forget time place met girl want world see met mmm-mmm-mmm-m'mmm-mmm another day might looked way never aware dream tonight di-di-di-di'n'di falling yes falling keep calling back never known like alone missed thing kept sight girl never quite like da-da-n'da-da'n'da falling yes falling keep calling back falling yes falling keep calling back seen face ca forget time place met girl want world see met mmm-mmm-mmm-da-da-da falling yes falling keep calling back falling yes falling keep calling back falling yes falling keep calling back","I've Just Seen A Face","Help!"
"real nowhere man sitting nowhere land making nowhere plan nobody point view know going bit like nowhere man please listen know missing nowhere man world command blind see want see nowhere man see nowhere man worry take time hurry leave till somebody else lends hand point view know going bit like nowhere man please listen know missing nowhere man world command real nowhere man sitting nowhere land making nowhere plan nobody making nowhere plan nobody making nowhere plan nobody","Nowhere Man","Rubber Soul"
"place remember life though changed forever better gone remain place moment lover friend still recall dead living life loved friend lover one compare memory lose meaning think love something new though know never lose affection people thing went know often stop think life love though know never lose affection people thing went know often stop think life love life love","In My Life","Rubber Soul"
"anybody going listen story girl came stay kind girl want much make sorry still regret single day ah girl girl girl think time tried hard leave turn start cry promise earth believe time know ah girl girl girl kind girl put friend feel fool say looking good act understood cool ooh ooh ooh ah girl girl girl told young pain would lead pleasure understand said man must break back earn day leisure still believe dead ah girl girl girl","Girl","Rubber Soul"
"call line engaged enough act age lost time hard find lose mind wo see wo see wo see wo see know want hide ca get hand tied wo want stay much say ca turn away wo see wo see wo see wo see time time refuse even listen would mind knew missing though day filled tear since lost feel like year yes seems long girl since gone ca go wo see wo see wo see wo see time time refuse even listen would mind knew missing though day filled tear since lost feel like year yes seems long girl since gone ca go wo see wo see wo see wo see","You Won't See Me","Rubber Soul"
"say word free say word like say word thinking heard word love fine sunshine word love beginning misunderstood got word good spread word free spread word like spread word thinking heard word love fine sunshine word love everywhere go hear said good bad book read say word free say word like say word thinking heard word love fine sunshine word love know feel must right show everybody light give word chance say word way word thinking word love fine sunshine word love say word love say word love say word love say word love","The Word","Rubber Soul"
"got word two say thing telling lie good thing close eye want go going think co wo left far behind ruin life mind though still ca see know mind made gon cause misery want go going think co wo although mind opaque try thinking sake future still look good got time rectify thing want go going think co wo want go going think co wo think co wo","Think For Yourself","Rubber Soul"
"looking go thought knew know look different changed looking lip moving hear voice soothing word clear sound different learned game looking tell treat right love nasty habit disappearing overnight thinking old way today difference looking nowhere tell treat right love nasty habit disappearing overnight looking go thought knew know look different changed looking yeah baby changed ah looking yeah looking","I'm Looking Through You","Rubber Soul"
"go heart go mind tearing apart treat unkind go mind day saw walked along road saw could feel future fold easy girl like lie tell go heart go mind tearing apart treat unkind go mind met morning waiting tide time tide turning see blind easy girl like lie tell go heart used think one else even think someone name mean break heart watch die tell go heart go mind tearing apart treat unkind go mind","What Goes On","Rubber Soul"
"girl say showed room good norwegian wood asked stay told sit anywhere looked around noticed chair sat rug biding time drinking wine talked two said time bed told worked morning started laugh told crawled sleep bath awoke alone bird flown lit fire good norwegian wood","Norwegian Wood (This Bird Has Flown)","Rubber Soul"
"asked girl wanted said baby ca see wan famous star screen something baby drive car yes gon star baby drive car maybe love told girl prospect good said baby understood working peanut fine show better time baby drive car yes gon star baby drive car maybe love beep beep beep beep yeah baby drive car yes gon star baby drive car maybe love told girl start right away said listen baby got something say got car breaking heart found driver start baby drive car yes gon star baby drive car maybe love beep beep beep beep yeah beep beep beep beep yeah beep beep beep beep yeah beep beep beep beep yeah fade","Drive My Car","Rubber Soul"
"long time coming back home away alone wait till come back side forget tear cried heart break wait turn away heart strong hold wo delay wait till come back side forget tear cried feel though ought know good good trust know wait long time coming back home away alone wait till come back side forget tear cried feel though ought know good good trust know wait heart break wait turn away heart strong hold wo delay wait till come back side forget tear cried long time coming back home away alone","Wait","Rubber Soul"
"needed someone love one thinking needed someone time spend guess friend needed someone come day might like see much love carve number wall maybe get call needed someone ah ah ah ah time spend guess friend needed someone come day might like see much love carve number wall maybe get call needed someone ah ah","If I Needed Someone","Rubber Soul"
"michelle belle word go together well michelle michelle belle sont de mot qui vont très bien ensemble très bien ensemble love love love want say find way say word know understand michelle belle sont de mot qui vont très bien ensemble très bien ensemble need need need need make see mean hoping know mean love want want want think know get somehow telling understand michelle belle sont de mot qui vont très bien ensemble très bien ensemble say word know understand michelle","Michelle","Rubber Soul"
"well rather see dead little girl another man better keep head little girl wo know better run life little girl hide head sand little girl catch another man end ah little girl well know wicked guy born jealous mind ca spend whole life trying make toe line better run life little girl hide head sand little girl catch another man end ah little girl let sermon mean everything said baby determined rather see dead better run life little girl hide head sand little girl catch another man end ah little girl rather see dead little girl another man better keep head little girl wo know better run life little girl hide head sand little girl catch another man end ah little girl nah nah nah nah nah nah nah nah nah nah nah nah fade","Run For Your Life","Rubber Soul"
"day go fast turn around past get time hang sign love dead old man lifetime short new one ca bought got mean lot make love day long make love singing song make love day long make love singing song people standing round screw ground fill sin see make love want","Love You To","Revolver"
"wake early morning lift head still yawning middle dream stay bed float stream float stream please wake shake leave sleeping everybody seems think lazy mind think crazy running everywhere speed till find need need please spoil day mile away sleeping keeping eye world going window taking time lying staring ceiling waiting sleepy feeling please spoil day mile away sleeping ooh yeah keeping eye world going window taking time wake early morning lift head still yawning middle dream stay bed float stream float stream please wake shake leave sleeping","I'm Only Sleeping","Revolver"
"tell got everything want bird sing get get say seen seven wonder bird green ca see ca see prized possession start weigh look direction 'round 'round bird broken bring may awoken 'round 'round tell heard every sound bird swing ca hear ca hear","And Your Bird Can Sing","Revolver"
